car_name,year,price,assemble_place,series,km,engine_type,transmission,url
Hyundai Avante 1.6 MT,2015,238 Triệu,Lắp ráp trong nước,Sedan,"86,000 Km",Xăng  1.6 L,Số tay,https://bonbanh.com/xe-hyundai-avante-1.6-mt-2015-5641025
Hyundai SantaFe Cao cấp 2.5L HTRAC,2021,999 Triệu,Lắp ráp trong nước,SUV,"50,000 Km",Xăng  2.5 L,Số tự động,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.5l-htrac-2021-5617166
Hyundai Elantra 2.0 AT,2019,495 Triệu,Lắp ráp trong nước,Sedan,"58,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-hyundai-elantra-2.0-at-2019-5638063
Hyundai i10 Grand 1.2 AT,2019,339 Triệu,Lắp ráp trong nước,Hatchback,"40,000 Km",Xăng  1.25 L,Số tự động,https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2019-5641024
Toyota Vios 1.5G,2019,420 Triệu,Lắp ráp trong nước,Sedan,6 Km,Xăng  1.5 L,Số tự động,https://bonbanh.com/xe-toyota-vios-1.5g-2019-5641021
Jeep Wrangler Rubicon 2.0 4x4 AT,2021,2 Tỷ 650 Triệu,Nhập khẩu,SUV,"57,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-jeep-wrangler-rubicon-2.0-4x4-at-2021-5611416
Jeep Wrangler Rubicon 2.0 4x4 AT,2022,2 Tỷ 700 Triệu,Nhập khẩu,SUV,"60,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-jeep-wrangler-rubicon-2.0-4x4-at-2022-5611366
Peugeot 5008 1.6 AT,2018,685 Triệu,Lắp ráp trong nước,SUV,"100,000 Km",Xăng  1.6 L,Số tự động,https://bonbanh.com/xe-peugeot-5008-1.6-at-2018-5641020
Daewoo Winstorm 2.0 AT,2007,260 Triệu,Nhập khẩu,SUV,"120,000 Km",Dầu  2.0 L,Số tự động,https://bonbanh.com/xe-daewoo-winstorm-2.0-at-2007-5603174
VinFast Lux SA 2.0 Premium 2.0 AT,2020,760 Triệu,Lắp ráp trong nước,SUV,"100,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-vinfast-lux_sa_2.0-premium-2.0-at-2020-5634571
Hyundai Tucson 1.6 AT Turbo,2018,633 Triệu,Lắp ráp trong nước,Crossover,"80,000 Km",Xăng  1.6 L,Số tự động,https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-2018-5632810
Hyundai SantaFe Cao cấp 2.2L HTRAC,2022,1 Tỷ 168 Triệu,Lắp ráp trong nước,SUV,"36,000 Km",Dầu  2.2 L,Số tự động,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2022-5568362
Toyota Sienna Limited 3.5,2015,1 Tỷ 739 Triệu,Nhập khẩu,Van/Minivan,"61,000 Km",Xăng  3.5 L,Số tự động,https://bonbanh.com/xe-toyota-sienna-limited-3.5-2015-5580952
Ford Mustang 2.3 EcoBoost Fastback,2019,1 Tỷ 999 Triệu,Nhập khẩu,Coupe,"8,000 Km",Xăng  2.3 L,Số tự động,https://bonbanh.com/xe-ford-mustang-2.3-ecoboost-fastback-2019-5413631
Kia Morning SX 1.1 AT Sport,2011,186 Triệu,Lắp ráp trong nước,Hatchback,"100,000 Km",Xăng  1.1 L,Số tự động,https://bonbanh.com/xe-kia-morning-sx-1.1-at-sport-2011-5535226
Hyundai SantaFe Cao cấp 2.2L HTRAC,2021,1 Tỷ 65 Triệu,Lắp ráp trong nước,SUV,"38,000 Km",Dầu  2.2 L,Số tự động,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2021-5640457
Toyota Camry 2.5HV,2022,1 Tỷ 329 Triệu,Nhập khẩu,Sedan,"54,000 Km",Hybrid  2.5 L,Số tự động,https://bonbanh.com/xe-toyota-camry-2.5hv-2022-5618396
