car_name,year,price,assemble_place,series,km,engine_type,transmission,url,brand,model
Hyundai SantaFe Cao cấp 2.2L HTRAC,2021,1065000000.0,Lắp ráp trong nước,SUV,38000,Dầu,Số tự động,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2021-5640457,Hyundai,SantaFe Cao cấp 2.2L HTRAC
Toyota Camry 2.5HV,2022,1329000000.0,Nhập khẩu,Sedan,54000,Hybrid,Số tự động,https://bonbanh.com/xe-toyota-camry-2.5hv-2022-5618396,Toyota,Camry 2.5HV
Samsung QM5 2.0 AT,2014,290000000.0,Nhập khẩu,Crossover,15000,Xăng,Số tự động,https://bonbanh.com/xe-samsung-qm5-2.0-at-2014-5429723,Other,Other
Ford Ranger Wildtrak 2.0L 4x4 AT,2022,770000000.0,Lắp ráp trong nước,Pickup,5000,Dầu,Số tự động,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2022-5318666,Ford,Ranger Wildtrak 2.0L 4x4 AT
Toyota Camry 2.5Q,2020,980000000.0,Nhập khẩu,Sedan,28000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-camry-2.5q-2020-5563075,Toyota,Camry 2.5Q
Toyota Raize G 1.0 CVT,2022,518000000.0,Nhập khẩu,SUV,6120,Xăng,Số tự động,https://bonbanh.com/xe-toyota-raize-g-1.0-cvt-2022-5602625,Toyota,Raize G 1.0 CVT
Lexus RX 350,2008,525000000.0,Nhập khẩu,SUV,100000,Xăng,Số tự động,https://bonbanh.com/xe-lexus-rx-350-2008-5638018,Lexus,RX 350
Toyota Corolla Cross 1.8HV,2021,820000000.0,Nhập khẩu,SUV,20000,Hybrid,Số tự động,https://bonbanh.com/xe-toyota-corolla_cross-1.8hv-2021-5318646,Toyota,Corolla Cross 1.8HV
Ford Ranger Wildtrak 2.0L 4x4 AT,2019,633000000.0,Nhập khẩu,Pickup,70000,Dầu,Số tự động,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2019-5496404,Ford,Ranger Wildtrak 2.0L 4x4 AT
Mercedes Benz C class C250 CGI,2010,270000000.0,Lắp ráp trong nước,Sedan,16000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-c_class-c250-cgi-2010-5376227,Mercedes,Benz C class C250 CGI
Toyota Corolla altis 1.8G AT,2008,280000000.0,Lắp ráp trong nước,Sedan,15000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2008-5529752,Toyota,Corolla altis 1.8G AT
Ford Focus Titanium 2.0 AT,2014,315000000.0,Lắp ráp trong nước,Sedan,83000,Xăng,Số tự động,https://bonbanh.com/xe-ford-focus-titanium-2.0-at-2014-5639130,Ford,Focus Titanium 2.0 AT
Mazda 2 1.5 AT,2022,398000000.0,Nhập khẩu,Sedan,37000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-2-1.5-at-2022-5633054,Mazda,2 1.5 AT
Honda City RS 1.5 AT,2022,498000000.0,Lắp ráp trong nước,Sedan,39200,Xăng,Số tự động,https://bonbanh.com/xe-honda-city-rs-1.5-at-2022-5622257,Honda,City RS 1.5 AT
Kia Sorento GATH,2016,515000000.0,Lắp ráp trong nước,SUV,70000,Xăng,Số tự động,https://bonbanh.com/xe-kia-sorento-gath-2016-5641011,Kia,Sorento GATH
Ssangyong XLV 1.6 AT,2016,445000000.0,Nhập khẩu,SUV,50000,Xăng,Số tự động,https://bonbanh.com/xe-ssangyong-xlv-1.6-at-2016-5626125,Other,Other
Mitsubishi Xpander 1.5 AT,2021,579000000.0,Nhập khẩu,SUV,12600,Xăng,Số tự động,https://bonbanh.com/xe-mitsubishi-xpander-1.5-at-2021-5640991,Mitsubishi,Xpander 1.5 AT
Mercedes Benz GLC 300 4Matic,2017,1129000000.0,Lắp ráp trong nước,SUV,43000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2017-5621692,Mercedes,Benz GLC 300 4Matic
Honda HRV L,2019,595000000.0,Nhập khẩu,Crossover,71000,Xăng,Số tự động,https://bonbanh.com/xe-honda-hrv-l-2019-5601037,Honda,HRV L
Hyundai SantaFe Premium 2.2L HTRAC,2019,858000000.0,Lắp ráp trong nước,SUV,108000,Dầu,Số tự động,https://bonbanh.com/xe-hyundai-santafe-premium-2.2l-htrac-2019-5637654,Hyundai,SantaFe Premium 2.2L HTRAC
RAM 1500 Longhorn 5.7L 4x4 AT,2022,5488000000.0,Nhập khẩu,Pickup,12262,Xăng,Số tự động,https://bonbanh.com/xe-ram-1500-longhorn-5.7l-4x4-at-2022-5529119,Other,1500 Longhorn 5.7L 4x4 AT
Toyota Yaris RS 1.5 AT,2013,335000000.0,Nhập khẩu,Hatchback,78999,Xăng,Số tự động,https://bonbanh.com/xe-toyota-yaris-rs-1.5-at-2013-5624530,Toyota,Yaris RS 1.5 AT
Honda City G 1.5 AT,2021,455000000.0,Lắp ráp trong nước,Sedan,33333,Xăng,Số tự động,https://bonbanh.com/xe-honda-city-g-1.5-at-2021-5639017,Honda,City G 1.5 AT
Mazda CX5 Premium 2.0 AT,2022,836000000.0,Lắp ráp trong nước,SUV,20000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-cx5-premium-2.0-at-2022-5641003,Mazda,CX5 Premium 2.0 AT
Hyundai SantaFe 2.4L 4WD,2018,735000000.0,Lắp ráp trong nước,SUV,60000,Xăng,Số tự động,https://bonbanh.com/xe-hyundai-santafe-2.4l-4wd-2018-5641002,Hyundai,SantaFe 2.4L 4WD
Kia Sonet Premium 1.5 AT,2022,579000000.0,Lắp ráp trong nước,Crossover,1100,Xăng,Số tự động,https://bonbanh.com/xe-kia-sonet-premium-1.5-at-2022-5555537,Kia,Sonet Premium 1.5 AT
Toyota Corolla Cross 1.8V,2021,769000000.0,Nhập khẩu,SUV,25000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2021-5520077,Toyota,Corolla Cross 1.8V
Honda Accord 1.5 AT,2022,1059000000.0,Nhập khẩu,Sedan,8000,Xăng,Số tự động,https://bonbanh.com/xe-honda-accord-1.5-at-2022-5509175,Honda,Accord 1.5 AT
Mercedes Benz S class S400L,2014,1250000000.0,Lắp ráp trong nước,Sedan,90000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2014-5635375,Mercedes,Benz S class S400L
Mercedes Benz GLC 200 4Matic,2021,1635000000.0,Lắp ráp trong nước,SUV,45000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2021-5621686,Mercedes,Benz GLC 200 4Matic
Mazda 3 1.5L Luxury,2020,540000000.0,Lắp ráp trong nước,Sedan,60000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-3-1.5l-luxury-2020-5640983,Mazda,3 1.5L Luxury
Hyundai Accent 1.4 AT,2023,465000000.0,Lắp ráp trong nước,Sedan,15000,Xăng,Số tự động,https://bonbanh.com/xe-hyundai-accent-1.4-at-2023-5599306,Hyundai,Accent 1.4 AT
BMW 4 Series 430i Gran Coupe M Sport,2022,2458000000.0,Nhập khẩu,Coupe,2345,Xăng,Số tự động,https://bonbanh.com/xe-bmw-4_series-430i-gran-coupe-m-sport-2022-5640994,BMW,4 Series 430i Gran Coupe M Sport
Ford Ranger XLS 2.0L 4x2 AT,2023,670000000.0,Lắp ráp trong nước,Pickup,43000,Dầu,Số tự động,https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x2-at-2023-5640986,Ford,Ranger XLS 2.0L 4x2 AT
Mercedes Benz C class C200 Exclusive,2021,1269000000.0,Lắp ráp trong nước,Sedan,35405,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-c_class-c200-exclusive-2021-5564386,Mercedes,Benz C class C200 Exclusive
Mazda 3 1.5 AT,2017,450000000.0,Lắp ráp trong nước,Sedan,76000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-3-1.5-at-2017-5601896,Mazda,3 1.5 AT
Ford Ranger Wildtrak 2.0L 4x4 AT,2023,905000000.0,Lắp ráp trong nước,Pickup,3700,Dầu,Số tự động,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2023-5614360,Ford,Ranger Wildtrak 2.0L 4x4 AT
