car_name,year,price,assemble_place,series,km,engine_type,transmission,url
Mazda 3,2016,398 triệu,Trong nước,Sedan,60.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-3-ha-noi/xe-dep-xuat-sac-khong-loi-nho-aidxc23055377
Ford Everest Titanium 2.2L AT 4x2,2016,710 triệu,Nhập khẩu,SUV,90.000 km,Máy dầu,Số tự động,https://oto.com.vn//mua-ban-xe-ford-everest-ha-noi/xe-chat-gia-tot-aidxc23061277
VinFast Fadil Nâng Cao,2020,339 triệu,Trong nước,Hatchback,160.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-vinfast-fadil-ha-noi/16v-full-lich-su-hang-nhieu-do-choi-aidxc23019963
Kia Rondo,2020,499 triệu,Trong nước,,50.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-kia-rondo-ha-noi/xe-dep-bien-tinh-ten-tu-nhan-aidxc23016001
Toyota Innova 2.0E,2014,335 triệu,Trong nước,Crossover,150.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-toyota-innova-ha-noi/ko-dich-vu-hon-300tr-aidxc22991876
Toyota Fortuner,2016,465 triệu,Trong nước,,11.200 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-fortuner-ha-noi/xe-tu-nhan-bien-tinh-aidxc23015989
Mitsubishi Triton,2009,220 triệu,Trong nước,Bán Tải,100.000 km,Máy dầu,Số sàn,https://oto.com.vn//mua-ban-xe-mitsubishi-triton-ha-noi/gia-220-trieu-co-thuong-luong-aidxc23041144
Toyota Innova,2016,370 triệu,Trong nước,,130.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-toyota-innova-ha-noi/xe-tu-nhan-su-dung-aidxc23048473
Mazda 3,2022,599 triệu,Trong nước,Sedan,27.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-3-hcm/giao-xe-tan-noi-aidxc23048655
Chevrolet Trailblazer 2.5L 4x2 AT,2018,519 triệu,Nhập khẩu,SUV,90.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-chevrolet-trailblazer-hai-duong/odo-9-van-xe-cuc-chat-aidxc23060296
